id_trilha,trilha,pontos,fotos,perigo_medio,pontos_criticos,pct_criticos
T01,Pau da Fome,35,57,3.03,12,34.3
T02,Pedra Negra,15,35,3.0,5,33.3
T03,Morro dos Caboclos,20,52,3.1,6,30.0
