tipo,Morro dos Caboclos,Pau da Fome,Pedra Negra
Declive,8,10,6
Deslizamento,0,1,1
Drenagem,1,7,0
Erosão,8,7,1
Mata Fechada,1,0,1
Obstaculo,1,4,2
Passagem,1,5,4
Pico Pedra Branca,0,1,0
