risco,1,2,3,4,5
Risco de escorregamento,0,3,7,4,7
Área de declive ou deslizamento,0,4,3,3,7
Risco de queda,0,2,3,5,3
Tronco ou galho caído,0,2,6,1,2
Curso d'água,0,0,0,2,0
