origem_perigo,Morro dos Caboclos,Pau da Fome,Pedra Negra
"Declividade alta
+ obstáculos",6,4,3
Nenhum dos dois,7,12,2
Só declividade alta,4,0,2
Só obstáculos,3,19,8
