tipo_evidencia,pontos,perigo_medio,criticos,pct_criticos
Sem evidência registrada,27,2.19,2,7.4
Só instabilidade do terreno,32,3.69,18,56.2
Instabilidade do terreno + árvore derrubada,5,3.4,2,40.0
Só árvore derrubada (efeito da instabilidade),6,3.17,1,16.7
