ID_Foto;ID_Ponto;Arquivo;Caminho
F093;T3P001;P001_F093;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F094;T3P001;P001_F094;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F095;T3P001;P001_F095;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F096;T3P002;P002_F096;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F097;T3P002;P002_F097;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F098;T3P002;P002_F098;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F099;T3P003;P003_F099;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F100;T3P004;P004_F100;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F101;T3P005;P005_F101;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F102;T3P005;P005_F102;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F103;T3P005;P005_F103;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F104;T3P005;P005_F104;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F105;T3P006;P006_F105;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F106;T3P006;P006_F106;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F107;T3P006;P006_F107;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F108;T3P006;P007_F108;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F109;T3P006;P008_F109;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F110;T3P007;P007_F110;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F111;T3P007;P007_F111;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F112;T3P007;P007_F112;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F113;T3P007;P007_F113;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F114;T3P007;P007_F114;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F115;T3P007;P007_F115;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F116;T3P007;P007_F116;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F117;T3P007;P007_F117;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F118;T3P008;P008_F118;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F119;T3P009;P009_F119;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F120;T3P009;P009_F120;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F121;T3P009;P009_F121;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F122;T3P010;P010_F122;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F123;T3P010;P010_F123;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F124;T3P011;P011_F124;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F125;T3P011;P011_F125;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F126;T3P011;P011_F126;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F127;T3P012;P012_F127;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F128;T3P012;P012_F128;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F129;T3P013;P013_F129;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F130;T3P013;P013_F130;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F131;T3P013;P013_F131;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F132;T3P014;P014_F132;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F133;T3P014;P014_F133;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F134;T3P015;P015_F134;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F135;T3P015;P015_F135;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F136;T3P016;P016_F136;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F137;T3P016;P016_F137;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F138;T3P017;P017_F138;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F139;T3P018;P018_F139;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F140;T3P019;P019_F140;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F141;T3P019;P019_F141;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F142;T3P019;P019_F142;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F143;T3P020;P020_F143;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
F144;T3P020;P020_F144;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_03
