ID_Foto;ID_Ponto;Arquivo;Caminho
F001;T1P001;P001_F001;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F002;T1P001;P001_F002;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F003;T1P001;P001_F003;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F004;T1P001;P001_F004;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F005;T1P002;P002_F005;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F006;T1P002;P002_F006;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F007;T1P003;P003_F007;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F008;T1P003;P003_F008;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F009;T1P004;P004_F009;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F010;T1P004;P004_F010;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F011;T1P005;P005_F011;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F012;T1P006;P006_F012;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F013;T1P007;P007_F013;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F014;T1P008;P008_F014;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F015;T1P009;P009_F015;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F016;T1P010;P010_F016;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F017;T1P010;P010_F017;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F018;T1P010;P010_F018;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F019;T1P011;P011_F019;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F020;T1P012;P012_F020;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F021;T1P013;P013_F021;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F022;T1P014;P014_F022;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F023;T1P014;P014_F023;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F024;T1P014;P014_F024;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F025;T1P014;P014_F025;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F026;T1P015;P015_F026;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F027;T1P016;P016_F027;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F028;T1P016;P016_F028;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F029;T1P017;P017_F029;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F030;T1P018;P018_F030;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F031;T1P019;P019_F031;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F032;T1P020;P020_F032;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F033;T1P021;P021_F033;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F034;T1P021;P021_F034;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F035;T1P022;P022_F035;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F036;T1P022;P022_F036;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F037;T1P022;P022_F037;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F038;T1P022;P022_F038;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F039;T1P023;P023_F039;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F040;T1P024;P024_F040;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F041;T1P025;P025_F041;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F042;T1P025;P025_F042;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F043;T1P025;P025_F043;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F044;T1P026;P026_F044;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F045;T1P027;P027_F045;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F046;T1P027;P027_F046;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F047;T1P028;P028_F047;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F048;T1P028;P028_F048;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F049;T1P029;P029_F049;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F050;T1P029;P029_F050;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F051;T1P030;P030_F051;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F052;T1P031;P031_F052;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F053;T1P032;P032_F053;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F054;T1P032;P032_F054;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F055;T1P033;P033_F055;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F056;T1P034;P034_F056;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
F057;T1P035;P035_F057;\Projeto_Pedra_Branca\06_Fotos_Campo\Trilha_01
